user_id,post_id,likes,shares
1,623986,115047,10823
2,279821,209425,103998
3,312458,87183,40041
4,691026,238927,13380
5,327960,506107,18508
6,104251,550879,133702
7,441695,597665,292166
8,636390,578686,65855
9,447052,772387,359983
10,520548,648227,267558
11,103338,271040,14228
12,123817,606785,237234
13,11403,575273,149876
14,113974,36283,7541
15,841037,420364,69902
16,279927,658597,148757
17,436592,90483,7691
18,40639,323334,140120
19,563295,54124,14872
20,398980,793131,39742
21,312417,701720,8638
22,370979,558128,228498
23,19695,432214,125652
24,677268,234872,63651
25,94165,100428,17365
26,11992,618964,9858
27,137691,656159,136205
28,289178,280784,84976
29,815089,751154,63816
30,137285,718107,141293
31,231097,214660,26441
32,1838,483247,73036
33,104750,395683,127649
34,226370,549617,112107
35,619391,441624,165482
36,28755,478768,87572
37,928125,695520,282083
38,783738,453254,94541
39,446510,518251,149842
40,450312,185034,28504
41,97844,774895,73880
42,839472,603483,99720
43,510742,527481,227847
44,966352,560588,164572
45,67411,129745,30507
46,777255,385267,140539
47,897148,667550,327870
48,363038,378103,69545
49,71910,162468,24548
50,986510,588280,240574
51,787808,617494,96917
52,577967,551725,109975
53,830820,752550,226561
54,758904,80662,18679
55,939402,315759,96957
56,792734,542192,9346
57,265219,752601,142561
58,878360,522659,88523
59,710776,774164,4669
60,626721,224623,79295
61,658588,390301,98804
62,523637,447682,85112
63,340115,384204,13979
64,126238,202363,18496
65,675812,363431,62077
66,916727,115803,55834
67,544525,212675,93454
68,878853,317740,130155
69,33061,2564,679
70,238088,365541,97845
71,174344,402154,24366
72,472740,166443,6074
73,673603,118522,22036
74,996810,668362,242396
75,350281,110910,25640
76,280562,66715,16445
77,897387,218408,1807
78,76047,144102,23101
79,691304,156702,58816
80,182925,445387,114866
81,68940,126350,16124
82,904918,530572,230485
83,303277,410352,68677
84,811585,359325,87453
85,755258,369920,161793
86,194856,752260,207523
87,515918,677216,315521
88,970380,186186,85236
89,231218,761053,314728
90,907195,249697,99509
91,642817,352491,113224
92,593921,196747,12407
93,638807,363060,34461
94,886472,428940,147026
95,82654,344846,44301
96,816257,136465,20637
97,827317,764871,86396
98,615329,624310,256742
99,372334,529290,72724
100,462612,559514,132764
101,348869,349612,84788
102,446563,248123,79944
103,701714,345704,119331
104,920790,186214,17309
105,680878,97563,35639
106,199158,285979,136583
107,891820,555224,79076
108,651151,791933,259786
109,921195,488138,134247
110,520716,554675,13667
111,161548,617978,188448
112,21847,224698,165
113,76703,480883,208993
114,426567,28984,6960
115,597520,551395,83158
116,10014,305669,149288
117,787335,139181,10294
118,364321,122187,26658
119,959891,228736,80774
120,978944,533233,136478
121,822603,253380,43305
122,795271,239436,77759
123,495956,242518,60474
124,904549,568496,179675
125,99325,256222,82421
126,832541,600002,159937
127,735583,465361,104108
128,465239,207025,70008
129,601857,57328,22711
130,613292,278927,59199
131,761424,60225,5732
132,608859,521074,22948
133,492238,778568,383043
134,158575,752413,297414
135,831749,69818,5170
136,285955,459164,212822
137,225201,411489,69294
138,390167,84340,27048
139,195058,207643,65053
140,757251,517795,88183
141,448349,232403,101871
142,53194,37865,7182
143,355002,355875,7142
144,331601,512580,99024
145,375124,435750,44107
146,412713,763132,136075
147,950520,560184,148022
148,835274,193043,51804
149,154809,572479,60007
150,74466,256986,15943
151,601410,498837,115475
152,214610,69710,21313
153,916237,667150,64799
154,186073,104109,19293
155,780253,62688,266
156,948047,131339,32382
157,864902,557092,118061
158,665962,439206,49594
159,535683,710142,28323
160,475922,630961,201452
161,372367,540514,204768
162,329338,198901,49975
163,41956,599451,18896
164,313064,195650,37254
165,77508,119446,56946
166,106558,496431,177784
167,630704,256366,39473
168,994403,680753,72310
169,793530,70039,11705
170,264474,762796,10702
171,442817,181520,56171
172,735099,609530,280139
173,209721,204364,30292
174,613998,412902,39938
175,495251,228757,14738
176,823486,80887,32227
177,42845,123649,42204
178,462741,201194,41361
179,29074,541724,228003
180,476296,450295,71763
181,505268,2519,806
182,71732,595613,11551
183,167487,87620,5396
184,507820,209059,104411
185,398213,468454,150783
186,2624,498976,132190
187,10120,237002,80799
188,929219,709659,312724
189,155472,9762,4463
190,247884,39751,2142
191,764556,609554,163238
192,805999,438833,84861
193,139874,181594,81222
194,857744,367059,173997
195,34291,784618,239055
196,459810,340859,148838
197,348332,332844,97249
198,785439,71573,19002
199,873392,533515,34135
200,367274,797179,130544
201,435520,110569,42395
202,402356,448105,184048
203,948134,746577,359953
204,760311,60953,3698
205,786385,288517,56845
206,939570,231724,96318
207,22480,28922,3608
208,581144,479278,166073
209,63077,330334,85913
210,636176,649912,10978
211,735773,479398,60703
212,276140,194084,69650
213,927247,795853,243027
214,49133,74158,21998
215,478383,603680,224963
216,921509,626370,182875
217,481732,105675,32402
218,378497,172850,4884
219,474129,610786,177699
220,666349,798501,354199
221,887288,758027,321252
222,860765,214782,51032
223,98293,637168,224259
224,812278,499549,139045
225,198835,643041,53912
226,16081,60,20
227,838011,151402,49311
228,140445,201779,64794
229,794098,608651,273745
230,718643,361601,28824
231,955278,638704,63315
232,36125,603359,296624
233,783526,624986,96083
234,621786,141277,20308
235,177846,427227,144863
236,980408,572896,162540
237,654822,390059,180072
238,823796,620758,223945
239,73203,296390,124690
240,152573,656013,264436
241,309064,176425,5133
242,721159,613760,303662
243,777263,88789,36040
244,277190,342218,92241
245,649789,196461,65174
246,725366,137899,37662
247,709185,152675,136
248,708249,552286,163311
249,796933,340471,144902
250,313657,401212,186485
251,15181,33214,14189
252,343978,357695,33532
253,712109,265628,75792
254,927088,12730,1462
255,233004,304027,121478
256,928444,404751,193385
257,460327,532329,10259
258,167905,509350,27275
259,515379,689099,227111
260,871972,746487,228095
261,954099,480459,52095
262,690095,418641,23469
263,702627,221805,76823
264,891405,434844,19885
265,493312,248542,28002
266,882913,438193,6307
267,393934,478817,130737
268,244641,112650,37710
269,330010,638691,55501
270,926120,677370,300803
271,907313,470010,230796
272,716161,117033,19850
273,674853,678774,256963
274,124988,777087,71345
275,57385,435555,209850
276,744629,729358,115877
277,344307,475661,222350
278,906621,37119,10131
279,592866,757139,102213
280,425108,559512,79912
281,865876,362192,151800
282,80333,746181,62806
283,207875,761063,239019
284,534477,23286,5225
285,268730,69417,29643
286,841136,497600,100102
287,488264,632338,75884
288,853576,581950,39231
289,465482,788081,43983
290,294854,241369,67284
291,569017,784093,258407
292,782992,36148,17054
293,554294,272584,19751
294,598818,532496,169384
295,345081,534554,144613
296,116459,85587,22636
297,887192,642271,176418
298,269377,638924,249238
299,625925,610587,179334
300,938595,253428,15289
301,214869,39482,7973
302,921737,292433,34249
303,346631,498130,198180
304,635640,108022,1368
305,651384,524772,211551
306,48545,783180,262965
307,135239,47075,10390
308,620203,381991,113798
309,162580,704883,124118
310,802498,689632,28054
311,715225,420879,104078
312,535886,158696,6816
313,203745,372737,55134
314,161565,194080,81330
315,945296,198139,36764
316,109989,246788,71070
317,257084,743353,24889
318,442136,628404,194165
319,42196,220836,46314
320,216263,416292,60029
321,370413,187539,14180
322,142092,529591,93613
323,229282,108531,25651
324,232089,339502,61059
325,569771,101001,38261
326,458347,154390,12839
327,14201,301863,49236
328,536299,706013,301217
329,176885,22794,2325
330,856000,662172,254630
331,261039,660085,231761
332,643720,236826,63343
333,489159,385356,86207
334,542809,659606,298071
335,357295,229558,21744
336,79936,453492,123529
337,299554,609659,281376
338,559755,510468,246254
339,813275,92320,36115
340,977990,415135,204008
341,478509,29225,4226
342,37959,423348,92717
343,437542,707626,132701
344,609275,200881,62613
345,956294,462502,182861
346,508550,439702,180616
347,227674,184162,53873
348,943500,686495,141605
349,411956,525719,120440
350,525054,108224,37404
351,634522,642431,197330
352,210947,785426,182160
353,581894,652668,232584
354,255357,135157,30821
355,704447,435575,3885
356,732677,597112,15853
357,236886,566597,45162
358,840295,684368,137388
359,625939,221010,61973
360,488132,187407,6459
361,532736,731790,269877
362,522079,550346,3365
363,117757,395018,41146
364,304139,93462,16897
365,109252,610567,295514
366,636331,244897,14514
367,137801,501114,1978
368,459787,267730,58621
369,809971,780540,33650
370,117774,576787,11626
371,38683,484131,16176
372,202183,47481,21175
373,547968,434102,27764
374,164583,95749,42542
375,635873,87826,37584
376,591728,291098,34934
377,569635,623516,154181
378,63869,712136,28899
379,283185,349960,145959
380,494664,526036,26299
381,352031,534182,3337
382,502381,423392,88715
383,995321,84362,31486
384,959682,671677,68204
385,420771,176959,8745
386,939892,303473,26724
387,303554,663078,41536
388,934174,640594,192357
389,412611,269807,49406
390,49217,248954,6056
391,973112,417444,134018
392,136723,602249,151247
393,688515,793872,144870
394,701560,483993,117971
395,208316,678665,234512
396,597249,676208,222989
397,81508,763708,75246
398,889701,181601,12263
399,79564,47837,1649
400,903307,665709,139982
401,245590,192275,13911
402,885754,592298,74502
403,745367,573992,263475
404,322033,672171,307724
405,673501,401564,17907
406,811931,671262,27036
407,300576,489240,170969
408,768008,757252,239252
409,593845,121843,13753
410,327897,44489,21569
411,857626,787506,311581
412,400170,361916,31686
413,897568,363386,10284
414,214279,585904,160751
415,828499,670526,263098
416,112897,155270,67643
417,402802,286523,125705
418,885065,367894,33247
419,562586,458293,198672
420,85396,767029,546
421,703807,646629,301758
422,798437,701024,70698
423,653013,415732,7848
424,63654,742551,201841
425,763647,335925,127089
426,491465,351890,18576
427,173724,340085,104381
428,173081,652387,208674
429,155471,516079,128470
430,907675,76308,29095
431,776477,329797,87838
432,79754,59944,10111
433,419477,50340,17494
434,741311,493236,114021
435,437205,49477,3552
436,388538,787070,27674
437,701749,240948,69649
438,350091,573057,10033
439,456998,326837,144302
440,563766,35419,952
441,702677,102540,36195
442,729220,641763,222256
443,195536,473616,11934
444,524557,581505,51416
445,882032,734305,139077
446,770783,441576,94624
447,487473,285102,22465
448,395265,146285,32963
449,109823,630993,51590
450,841642,100844,13643
451,603646,743178,261344
452,601026,248927,60531
453,99848,93317,6574
454,477943,192469,64887
455,422222,84455,21541
456,28456,619184,251731
457,318605,620322,235463
458,489148,153939,12394
459,3743,604689,19619
460,2526,627933,170189
461,386992,220835,109100
462,369772,382103,28142
463,416163,370400,13888
464,999511,508263,139699
465,864255,257433,121676
466,6791,784208,384761
467,879694,83965,11245
468,831693,412019,176640
469,963068,313710,98332
470,305154,23469,1450
471,500746,207462,92336
472,134117,358477,26828
473,970565,83511,12878
474,860940,133112,56740
475,610846,783109,204216
476,272587,474283,61721
477,395476,513245,174863
478,698583,504397,252108
479,806981,127811,29456
480,854844,214590,43577
481,498477,93940,22913
482,996199,754693,109336
483,298416,301172,108508
484,906260,364753,14916
485,491484,696333,307753
486,724711,227257,4373
487,125932,363397,171187
488,501582,69590,5164
489,768259,521180,73360
490,614802,397582,89191
491,673593,568270,216765
492,302717,43914,14806
493,612296,591581,2051
494,865065,727771,239947
495,176799,100081,43352
496,223570,755544,275134
497,386839,752225,123598
498,346445,712208,250103
499,657781,417743,184019
500,926602,522464,144676
501,288598,236383,17723
502,88189,415812,112835
503,333067,242590,11465
504,225836,686773,227387
505,320550,670670,85077
506,775046,349596,125058
507,389800,462131,119132
508,970875,369266,31752
509,457028,792776,119909
510,161122,68981,22771
511,955188,192075,70295
512,143448,219336,81972
513,778245,497840,190523
514,807734,398850,74401
515,25376,511727,46210
516,561516,653919,174127
517,91116,272198,90082
518,914968,57587,7293
519,815083,469593,184386
520,295801,426806,159667
521,295231,193632,11157
522,361131,243101,46612
523,481722,688795,244265
524,403543,342114,161821
525,654453,130921,42416
526,822776,491921,57868
527,125934,541140,122181
528,595838,681017,92065
529,461608,786414,239675
530,611936,736599,244140
531,572541,533984,211610
532,473851,34498,11657
533,498034,605414,175769
534,192041,572596,6202
