show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type
81193313,Chocolate,unknown,"ha ji-won, yoon kye-sang, jang seung-jo, kang bu-ja, lee jae-ryong, min jin-woong, kim won-hae, yoo teo",south korea,"November 30, 2019",2019,tv-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",TV Show
81197050,Guatemala: Heart of the Mayan World,"luis ara, ignacio jaunsolo",christian morales,unknown,"November 30, 2019",2019,tv-g,67 min,"Documentaries, International Movies","From Sierra de las Minas to Esquipulas, explore Guatemala's cultural and geological wealth, including ancient Mayan cities and other natural wonders.",Movie
81213894,The Zoya Factor,abhishek sharma,"sonam kapoor, dulquer salmaan, sanjay kapoor, sikander kher, angad bedi, koel purie, pooja bhamrah, manu rishi chadha",india,"November 30, 2019",2019,tv-14,135 min,"Comedies, Dramas, International Movies","A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",Movie
81082007,Atlantics,mati diop,"mama sane, amadou mbow, ibrahima traore, nicole sougou, amina kane, mariama gassama, coumba dieng, ibrahima mbaye, diankou sembene","france, senegal, belgium","November 29, 2019",2019,tv-14,106 min,"Dramas, Independent Movies, International Movies","Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",Movie
80213643,Chip and Potato,unknown,"abigail oliver, andrea libman, briana buckmaster, brian dobson, chance hurstfield, dominic good, emma jayne maas, evan byarushengo, scotia anderson, alessandro juliani","canada, united kingdom",2025-01-26 05:26:09.662133,2019,tv-y,2 Seasons,Kids' TV,"Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal.",TV Show
81172754,Crazy people,moses inwang,"ramsey nouah, chigul, sola sobowale, ireti doyle, ben touitou, francis onwochei, ememobong nkana, emem inwang, patrick onyeke",nigeria,"November 29, 2019",2018,tv-14,107 min,"Comedies, International Movies, Thrillers",Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.,Movie
81120982,I Lost My Body,jérémy clapin,"hakim faris, victoire du bois, patrick d'assumçao, dev patel, alia shawkat, george wendt",france,"November 29, 2019",2019,tv-ma,81 min,"Dramas, Independent Movies, International Movies","Romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film.",Movie
81227195,Kalushi: The Story of Solomon Mahlangu,mandla dube,"thabo rametsi, thabo malema, welile nzuza, jafta mamabolo, louw venter, pearl thusi",south africa,"November 29, 2019",2016,tv-ma,107 min,"Dramas, International Movies","The life and times of iconic South African liberation fighter Solomon Mahlangu, who battled the forces of apartheid, come into focus.",Movie
70205672,La Reina del Sur,unknown,"kate del castillo, cristina urgel, alberto jiménez, juan josé arjona, humberto zurita, dagoberto gama, christian tappán, miguel de miguel, salvador zerboni, carmen navarro, santiago meléndez, juan carlos solarte","united states, spain, colombia, mexico",2025-01-26 05:26:09.662133,2019,tv-14,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","This compelling show tells the story of the legendary Teresa Mendoza, a courageous woman who is perceived as conquering the world of drug trafficking.",TV Show
81172841,Lagos Real Fake Life,mike ezuruonye,"nonso diobi, mike ezuruonye, mercy aigbe, rex nosa, annie macaulay idibia, ik ogbonna, nedu wazobia, uzee usman, odunlade adekola, mr jollof, efe irele, josh 2 funny, haillie sumney, emmanuella, mc lively",unknown,"November 29, 2019",2018,tv-14,118 min,"Comedies, International Movies","Two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus.",Movie
